"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M02","Portugal","Combustible fuels - non-renewable","Gigawatt-hour","28.199",""
"2017M02","Portugal","Coal and manufactured gases","Gigawatt-hour","926.195",""
"2017M02","Portugal","Natural gas","Gigawatt-hour","1 135.506",""
"2017M02","Portugal","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Romania","Total","Gigawatt-hour","4 947.000",""
"2017M02","Romania","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M02","Romania","Coal and manufactured gases","Gigawatt-hour","1 232.000",""
"2017M02","Romania","Natural gas","Gigawatt-hour","988.000",""
"2017M02","Romania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","863.000",""
"2017M02","Slovenia","Total","Gigawatt-hour","1 167.876",""
"2017M02","Slovenia","Combustible fuels - non-renewable","Gigawatt-hour","0.751",""
"2017M02","Slovenia","Coal and manufactured gases","Gigawatt-hour","401.597",""
"2017M02","Slovenia","Natural gas","Gigawatt-hour","44.090",""
"2017M02","Slovenia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","441.967",""
"2017M02","Slovakia","Total","Gigawatt-hour","2 075.000",""
"2017M02","Slovakia","Combustible fuels - non-renewable","Gigawatt-hour","42.000",""
"2017M02","Slovakia","Coal and manufactured gases","Gigawatt-hour","258.000",""
"2017M02","Slovakia","Natural gas","Gigawatt-hour","101.000",""
"2017M02","Slovakia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 198.000",""
"2017M02","Finland","Total","Gigawatt-hour","5 871.000",""
"2017M02","Finland","Combustible fuels - non-renewable","Gigawatt-hour","89.000",""
"2017M02","Finland","Coal and manufactured gases","Gigawatt-hour","1 005.000",""
"2017M02","Finland","Natural gas","Gigawatt-hour","578.000",""
"2017M02","Finland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 859.000",""
"2017M02","Sweden","Total","Gigawatt-hour","14 575.228",""
"2017M02","Sweden","Combustible fuels - non-renewable","Gigawatt-hour","181.547",""
"2017M02","Sweden","Coal and manufactured gases","Gigawatt-hour","99.096",""
"2017M02","Sweden","Natural gas","Gigawatt-hour","85.319",""
"2017M02","Sweden","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","6 116.000",""
"2017M03","European Union - 27 countries (from 2020)","Total","Gigawatt-hour","240 956.724",""
"2017M03","European Union - 27 countries (from 2020)","Combustible fuels - non-renewable","Gigawatt-hour","2 979.488",""
"2017M03","European Union - 27 countries (from 2020)","Coal and manufactured gases","Gigawatt-hour","48 365.541",""
"2017M03","European Union - 27 countries (from 2020)","Natural gas","Gigawatt-hour","30 109.390",""
