"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M12","Slovenia","Index, 2015=100","All-items HICP","99.67",""
"2015M12","Slovakia","Index, 2015=100","All-items HICP","99.53",""
"2015M12","Finland","Index, 2015=100","All-items HICP","99.98",""
"2015M12","Sweden","Index, 2015=100","All-items HICP","100.54",""
"2016M01","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","98.71",""
"2016M01","Belgium","Index, 2015=100","All-items HICP","98.99",""
"2016M01","Bulgaria","Index, 2015=100","All-items HICP","99.40",""
"2016M01","Czechia","Index, 2015=100","All-items HICP","100.0",""
"2016M01","Denmark","Index, 2015=100","All-items HICP","99.3",""
"2016M01","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","98.5",""
"2016M01","Estonia","Index, 2015=100","All-items HICP","98.85",""
"2016M01","Ireland","Index, 2015=100","All-items HICP","98.7",""
"2016M01","Greece","Index, 2015=100","All-items HICP","98.30",""
"2016M01","Spain","Index, 2015=100","All-items HICP","97.63",""
"2016M01","France","Index, 2015=100","All-items HICP","99.02",""
"2016M01","Croatia","Index, 2015=100","All-items HICP","98.60",""
"2016M01","Italy","Index, 2015=100","All-items HICP","98.4",""
"2016M01","Cyprus","Index, 2015=100","All-items HICP","97.25",""
"2016M01","Latvia","Index, 2015=100","All-items HICP","98.63",""
"2016M01","Lithuania","Index, 2015=100","All-items HICP","99.62",""
"2016M01","Luxembourg","Index, 2015=100","All-items HICP","98.13",""
"2016M01","Hungary","Index, 2015=100","All-items HICP","99.52",""
"2016M01","Malta","Index, 2015=100","All-items HICP","97.07",""
"2016M01","Netherlands","Index, 2015=100","All-items HICP","98.03",""
"2016M01","Austria","Index, 2015=100","All-items HICP","99.85",""
"2016M01","Poland","Index, 2015=100","All-items HICP","99.4",""
"2016M01","Portugal","Index, 2015=100","All-items HICP","98.78",""
"2016M01","Romania","Index, 2015=100","All-items HICP","98.95",""
"2016M01","Slovenia","Index, 2015=100","All-items HICP","98.32",""
"2016M01","Slovakia","Index, 2015=100","All-items HICP","99.24",""
"2016M01","Finland","Index, 2015=100","All-items HICP","99.52",""
"2016M01","Sweden","Index, 2015=100","All-items HICP","99.96",""
"2016M02","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","98.85",""
"2016M02","Belgium","Index, 2015=100","All-items HICP","100.67",""
"2016M02","Bulgaria","Index, 2015=100","All-items HICP","98.89",""
"2016M02","Czechia","Index, 2015=100","All-items HICP","100.1",""
"2016M02","Denmark","Index, 2015=100","All-items HICP","99.8",""
"2016M02","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","98.9",""
"2016M02","Estonia","Index, 2015=100","All-items HICP","99.65",""
"2016M02","Ireland","Index, 2015=100","All-items HICP","99.1",""
"2016M02","Greece","Index, 2015=100","All-items HICP","98.28",""
"2016M02","Spain","Index, 2015=100","All-items HICP","97.21",""
