"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2017S1","Finland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1043",""
"2017S1","Sweden","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.0954",""
"2017S2","European Union - 27 countries (from 2020)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1712",""
"2017S2","Belgium","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1869",""
"2017S2","Bulgaria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1125",""
"2017S2","Czechia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1435",""
"2017S2","Denmark","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2774",""
"2017S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2278",""
"2017S2","Estonia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1130",""
"2017S2","Ireland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1719",""
"2017S2","Greece","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1792",""
"2017S2","Spain","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1676",""
"2017S2","France","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1413",""
"2017S2","Croatia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1222",""
"2017S2","Italy","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2020",""
"2017S2","Cyprus","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1800",""
"2017S2","Latvia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1616",""
"2017S2","Lithuania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1132",""
"2017S2","Luxembourg","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1072",""
"2017S2","Hungary","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1148",""
