time,country,type,value,date
2021M04,EU,Natural gas,32179.288,2021-04-01
2021M04,EU,Nuclear,53857.054,2021-04-01
2021M04,Belgium,Total,8198.478,2021-04-01
2021M04,Belgium,Combustible fuels,80.525,2021-04-01
2021M04,Belgium,Coal,182.59,2021-04-01
2021M04,Belgium,Natural gas,2241.111,2021-04-01
2021M04,Belgium,Nuclear,3758.651,2021-04-01
2021M04,Bulgaria,Total,3530.417,2021-04-01
2021M04,Bulgaria,Combustible fuels,0.0,2021-04-01
2021M04,Bulgaria,Coal,1228.984,2021-04-01
2021M04,Bulgaria,Natural gas,192.105,2021-04-01
2021M04,Bulgaria,Nuclear,1090.098,2021-04-01
2021M04,Czechia,Total,6037.159,2021-04-01
2021M04,Czechia,Combustible fuels,7.249,2021-04-01
2021M04,Czechia,Coal,2238.124,2021-04-01
2021M04,Czechia,Natural gas,779.348,2021-04-01
2021M04,Czechia,Nuclear,2003.518,2021-04-01
2021M04,Denmark,Total,2789.507,2021-04-01
2021M04,Denmark,Combustible fuels,66.376,2021-04-01
2021M04,Denmark,Coal,408.828,2021-04-01
2021M04,Denmark,Natural gas,109.218,2021-04-01
2021M04,Denmark,Nuclear,0.0,2021-04-01
2021M04,Germany,Total,43505.341,2021-04-01
2021M04,Germany,Combustible fuels,1388.568,2021-04-01
2021M04,Germany,Coal,10648.226,2021-04-01
2021M04,Germany,Natural gas,7344.199,2021-04-01
2021M04,Germany,Nuclear,5147.874,2021-04-01
2021M04,Estonia,Total,415.1,2021-04-01
2021M04,Estonia,Combustible fuels,220.5,2021-04-01
2021M04,Estonia,Coal,0.0,2021-04-01
2021M04,Estonia,Natural gas,0.0,2021-04-01
2021M04,Estonia,Nuclear,0.0,2021-04-01
2021M04,Ireland,Total,2335.952,2021-04-01
2021M04,Ireland,Combustible fuels,90.781,2021-04-01
2021M04,Ireland,Coal,234.837,2021-04-01
2021M04,Ireland,Natural gas,1224.695,2021-04-01
2021M04,Ireland,Nuclear,0.0,2021-04-01
2021M04,Greece,Total,3871.921,2021-04-01
2021M04,Greece,Combustible fuels,0.1,2021-04-01
2021M04,Greece,Coal,411.78,2021-04-01
2021M04,Greece,Natural gas,1680.4,2021-04-01
2021M04,Greece,Nuclear,0.0,2021-04-01
2021M04,Spain,Total,19890.79,2021-04-01
2021M04,Spain,Combustible fuels,175.76,2021-04-01
2021M04,Spain,Coal,270.349,2021-04-01
2021M04,Spain,Natural gas,5046.254,2021-04-01
2021M04,Spain,Nuclear,4197.333,2021-04-01
2021M04,France,Total,40023.676,2021-04-01
2021M04,France,Combustible fuels,0.0,2021-04-01
2021M04,France,Coal,373.188,2021-04-01
2021M04,France,Natural gas,3239.791,2021-04-01
2021M04,France,Nuclear,27209.135,2021-04-01
2021M04,Croatia,Total,1082.79,2021-04-01
2021M04,Croatia,Combustible fuels,0.0,2021-04-01
2021M04,Croatia,Coal,7.993,2021-04-01
2021M04,Croatia,Natural gas,209.284,2021-04-01
2021M04,Croatia,Nuclear,0.0,2021-04-01
2021M04,Italy,Total,21315.0,2021-04-01
2021M04,Italy,Combustible fuels,0.0,2021-04-01
2021M04,Italy,Coal,0.0,2021-04-01
2021M04,Italy,Natural gas,0.0,2021-04-01
2021M04,Italy,Nuclear,0.0,2021-04-01
2021M04,Cyprus,Total,299.321,2021-04-01
2021M04,Cyprus,Combustible fuels,0.0,2021-04-01
2021M04,Cyprus,Coal,0.0,2021-04-01
2021M04,Cyprus,Natural gas,0.0,2021-04-01
2021M04,Cyprus,Nuclear,0.0,2021-04-01
2021M04,Latvia,Total,655.0,2021-04-01
2021M04,Latvia,Combustible fuels,0.0,2021-04-01
2021M04,Latvia,Coal,0.0,2021-04-01
2021M04,Latvia,Natural gas,66.0,2021-04-01
2021M04,Latvia,Nuclear,0.0,2021-04-01
2021M04,Lithuania,Total,384.954,2021-04-01
2021M04,Lithuania,Combustible fuels,7.138,2021-04-01
2021M04,Lithuania,Coal,0.0,2021-04-01
2021M04,Lithuania,Natural gas,79.058,2021-04-01
2021M04,Lithuania,Nuclear,0.0,2021-04-01
2021M04,Luxembourg,Total,206.501,2021-04-01
2021M04,Luxembourg,Combustible fuels,5.487,2021-04-01
2021M04,Luxembourg,Coal,0.0,2021-04-01
2021M04,Luxembourg,Natural gas,16.966,2021-04-01
2021M04,Luxembourg,Nuclear,0.0,2021-04-01
2021M04,Hungary,Total,2873.975,2021-04-01
2021M04,Hungary,Combustible fuels,28.417,2021-04-01
2021M04,Hungary,Coal,217.209,2021-04-01
2021M04,Hungary,Natural gas,651.253,2021-04-01
2021M04,Hungary,Nuclear,1382.892,2021-04-01
2021M04,Malta,Total,187.539,2021-04-01
2021M04,Malta,Combustible fuels,0.0,2021-04-01
2021M04,Malta,Coal,0.0,2021-04-01
2021M04,Malta,Natural gas,165.032,2021-04-01
2021M04,Malta,Nuclear,0.0,2021-04-01
2021M04,Netherlands,Total,9510.641,2021-04-01
2021M04,Netherlands,Combustible fuels,131.933,2021-04-01
2021M04,Netherlands,Coal,797.271,2021-04-01
2021M04,Netherlands,Natural gas,4531.602,2021-04-01
2021M04,Netherlands,Nuclear,332.665,2021-04-01
2021M04,Austria,Total,5125.547,2021-04-01
2021M04,Austria,Combustible fuels,52.772,2021-04-01
2021M04,Austria,Coal,158.973,2021-04-01
2021M04,Austria,Natural gas,848.019,2021-04-01
2021M04,Austria,Nuclear,0.0,2021-04-01
