time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2015M07,Cyprus,109.72,98.98,96.55,116.01,93.37,92.29,84.67
2015M07,Latvia,109.72,98.98,96.55,116.66,93.37,92.29,84.67
2015M07,Lithuania,109.72,98.98,96.55,117.41,93.37,92.29,84.67
2015M07,Luxembourg,109.72,98.98,96.55,118.15,93.37,92.29,84.67
2015M07,Hungary,109.72,98.98,96.55,118.8,93.37,92.29,84.67
2015M07,Malta,109.72,98.98,96.55,101.51,93.37,92.29,84.67
2015M07,Netherlands,109.72,98.98,96.55,100.69,93.37,92.29,84.67
2015M07,Austria,109.72,98.98,96.55,99.93,93.37,92.29,84.67
2015M07,Poland,109.72,98.98,96.55,99.11,93.37,92.29,84.67
2015M07,Portugal,109.72,98.98,96.55,98.29,93.37,92.29,84.67
2015M07,Romania,109.72,98.98,96.55,97.53,93.37,92.29,84.67
2015M07,Slovenia,109.72,98.98,96.55,99.93,93.37,92.29,84.67
2015M07,Slovakia,109.72,98.98,96.55,100.3,93.37,92.29,84.67
2015M07,Finland,109.72,98.98,96.55,100.71,93.37,92.29,84.67
2015M07,Sweden,109.72,98.98,96.55,101.08,93.37,92.29,84.67
2015M08,EU,87.17,95.78,93.51,101.45,88.43,82.7,77.93
2015M08,Belgium,87.17,95.78,93.51,101.87,88.43,82.7,77.93
2015M08,Bulgaria,87.17,95.78,93.51,97.8,88.43,82.7,77.93
2015M08,Czechia,87.17,95.78,93.51,98.06,88.43,82.7,77.93
2015M08,Denmark,87.17,95.78,93.51,98.28,88.43,82.7,77.93
2015M08,Germany,87.17,95.78,93.51,98.5,88.43,82.7,77.93
2015M08,Estonia,87.17,95.78,93.51,98.77,88.43,82.7,77.93
2015M08,Ireland,87.17,95.78,93.51,99.04,88.43,82.7,77.93
2015M08,Greece,87.17,95.78,93.51,103.24,88.43,82.7,77.93
2015M08,Spain,87.17,95.78,93.51,102.36,88.43,82.7,77.93
2015M08,France,87.17,95.78,93.51,101.48,88.43,82.7,77.93
2015M08,Croatia,87.17,95.78,93.51,100.61,88.43,82.7,77.93
2015M08,Italy,87.17,95.78,93.51,99.73,88.43,82.7,77.93
2015M08,Cyprus,87.17,95.78,93.51,98.85,88.43,82.7,77.93
2015M08,Latvia,87.17,95.78,93.51,100.11,88.43,82.7,77.93
2015M08,Lithuania,87.17,95.78,93.51,99.63,88.43,82.7,77.93
2015M08,Luxembourg,87.17,95.78,93.51,99.09,88.43,82.7,77.93
2015M08,Hungary,87.17,95.78,93.51,98.6,88.43,82.7,77.93
2015M08,Malta,87.17,95.78,93.51,98.12,88.43,82.7,77.93
2015M08,Netherlands,87.17,95.78,93.51,97.58,88.43,82.7,77.93
2015M08,Austria,87.17,95.78,93.51,108.9,88.43,82.7,77.93
2015M08,Poland,87.17,95.78,93.51,103.11,88.43,82.7,77.93
2015M08,Portugal,87.17,95.78,93.51,97.32,88.43,82.7,77.93
2015M08,Romania,87.17,95.78,93.51,91.58,88.43,82.7,77.93
2015M08,Slovenia,87.17,95.78,93.51,85.78,88.43,82.7,77.93
2015M08,Slovakia,87.17,95.78,93.51,79.98,88.43,82.7,77.93
2015M08,Finland,87.17,95.78,93.51,95.61,88.43,82.7,77.93
2015M08,Sweden,87.17,95.78,93.51,95.14,88.43,82.7,77.93
2015M09,EU,89.48,94.41,86.23,94.67,82.08,82.19,77.93
2015M09,Belgium,89.48,94.41,86.23,94.2,82.08,82.19,77.93
2015M09,Bulgaria,89.48,94.41,86.23,93.79,82.08,82.19,77.93
2015M09,Czechia,89.48,94.41,86.23,93.32,82.08,82.19,77.93
2015M09,Denmark,89.48,94.41,86.23,96.55,82.08,82.19,77.93
2015M09,Germany,89.48,94.41,86.23,96.21,82.08,82.19,77.93
2015M09,Estonia,89.48,94.41,86.23,95.87,82.08,82.19,77.93
2015M09,Ireland,89.48,94.41,86.23,95.53,82.08,82.19,77.93
2015M09,Greece,89.48,94.41,86.23,95.2,82.08,82.19,77.93
2015M09,Spain,89.48,94.41,86.23,94.86,82.08,82.19,77.93
2015M09,France,89.48,94.41,86.23,100.22,82.08,82.19,77.93
2015M09,Croatia,89.48,94.41,86.23,99.85,82.08,82.19,77.93
2015M09,Italy,89.48,94.41,86.23,99.55,82.08,82.19,77.93
2015M09,Cyprus,89.48,94.41,86.23,99.25,82.08,82.19,77.93
