time,country,value,value_var,value_100,date
2015M04,Austria,0.1502,0.13,100.46,2015-04-01
2015M05,Austria,0.1505,0.2,100.66,2015-05-01
2015M06,Austria,0.1508,0.2,100.86,2015-06-01
2015M01,Poland,0.1427,0.0,100.0,2015-01-01
2015M02,Poland,0.1421,-0.42,99.58,2015-02-01
2015M03,Poland,0.1416,-0.35,99.23,2015-03-01
2015M04,Poland,0.141,-0.42,98.81,2015-04-01
2015M05,Poland,0.1404,-0.43,98.39,2015-05-01
2015M06,Poland,0.1399,-0.36,98.04,2015-06-01
2015M01,Portugal,0.1805,0.0,100.0,2015-01-01
2015M02,Portugal,0.18,-0.28,99.72,2015-02-01
2015M03,Portugal,0.1794,-0.33,99.39,2015-03-01
2015M04,Portugal,0.1788,-0.33,99.06,2015-04-01
2015M05,Portugal,0.1783,-0.28,98.78,2015-05-01
2015M06,Portugal,0.1778,-0.28,98.5,2015-06-01
2015M01,Romania,0.1226,0.0,100.0,2015-01-01
2015M02,Romania,0.122,-0.49,99.51,2015-02-01
2015M03,Romania,0.1215,-0.41,99.1,2015-03-01
2015M04,Romania,0.1209,-0.49,98.61,2015-04-01
2015M05,Romania,0.1203,-0.5,98.12,2015-05-01
2015M06,Romania,0.1198,-0.42,97.71,2015-06-01
2015M01,Slovenia,0.1262,0.0,100.0,2015-01-01
2015M02,Slovenia,0.1268,0.48,100.48,2015-02-01
2015M03,Slovenia,0.1274,0.47,100.95,2015-03-01
2015M04,Slovenia,0.128,0.47,101.42,2015-04-01
2015M05,Slovenia,0.1287,0.55,101.98,2015-05-01
2015M06,Slovenia,0.1293,0.47,102.46,2015-06-01
2015M01,Slovakia,0.1655,0.0,100.0,2015-01-01
2015M02,Slovakia,0.1655,0.0,100.0,2015-02-01
2015M03,Slovakia,0.1656,0.06,100.06,2015-03-01
2015M04,Slovakia,0.1656,0.0,100.06,2015-04-01
2015M05,Slovakia,0.1656,0.0,100.06,2015-05-01
2015M06,Slovakia,0.1657,0.06,100.12,2015-06-01
2015M01,Finland,0.1043,0.0,100.0,2015-01-01
2015M02,Finland,0.1042,-0.1,99.9,2015-02-01
2015M03,Finland,0.1041,-0.1,99.8,2015-03-01
2015M04,Finland,0.104,-0.1,99.7,2015-04-01
2015M05,Finland,0.1038,-0.19,99.51,2015-05-01
2015M06,Finland,0.1037,-0.1,99.41,2015-06-01
2015M01,Sweden,0.0903,0.0,100.0,2015-01-01
2015M02,Sweden,0.0899,-0.44,99.56,2015-02-01
2015M03,Sweden,0.0894,-0.56,99.0,2015-03-01
2015M04,Sweden,0.089,-0.45,98.55,2015-04-01
2015M05,Sweden,0.0886,-0.45,98.11,2015-05-01
2015M06,Sweden,0.0881,-0.56,97.56,2015-06-01
